MUNICIPIO,Y,X,W1,W2,N
Carlos Barbosa,0.594,0.1428571429,0.1363636364,0.1666666667,28
Aparecida,0.621,0.1071428571,0.1666666667,0,28
Planaltina,0.761,0.1428571429,0.0952380952,0.1428571429,28
Candelária,0.577,0.1785714286,0.2222222222,0,28
Sousa,0.661,0.0714285714,0.2222222222,0,28
Lagarto,0.692,0.1071428571,0.0769230769,0.0666666667,28
Serra Talhada,0.694,0.0714285714,0.0454545455,0,28
Nova Serrana,0.778,0.1428571429,0.1904761905,0,28
Guararapes,0.59,0.1071428571,0.0666666667,0.0769230769,28
Formosa,0.722,0.1071428571,0.0833333333,0,28
São Lourenço do Sul,0.557,0.1428571429,0.1304347826,0,28
Xangri-lá,0.658,0.1071428571,0,0.1666666667,28
